importance,node,type
0.0016495728470645153,CHEMBL142300,Compound
0.0016490558841790542,Q8WUU5,Protein
0.0016486652066338503,CHEMBL2159497,Compound
0.0016483670552127343,CHEMBL1830696,Compound
0.0016348889391112327,CHEMBL1672245,Compound
0.0016312054910824411,CHEMBL1209744,Compound
0.0016298631847907073,CHEMBL456405,Compound
0.0016296885676512648,CHEMBL1223084,Compound
0.0016282821007247887,CHEMBL2203478,Compound
0.0016259035289391641,CHEMBL375426,Compound
0.0016206844923867712,CHEMBL2203491,Compound
0.0016164179060524043,CHEMBL338255,Compound
0.00161571319965126,CHEMBL1223161,Compound
0.001613181743063931,CHEMBL2086470,Compound
0.0016129388031288399,Q8TBG4,Protein
0.001608975262886979,CHEMBL1921954,Compound
0.0016021571786106498,CHEMBL183440,Compound
0.0015969399379679285,CHEMBL584413,Compound
0.0015904161476237803,CHEMBL2023634,Compound
0.0015902489381308075,CHEMBL1223385,Compound
0.0015886400038481383,CHEMBL2023461,Compound
0.001584949063964747,CHEMBL1830710,Compound
0.0015756659930269764,Q99259,Protein
0.0015750177569644115,CHEMBL2203482,Compound
0.0015702390894846581,CHEMBL496373,Compound
0.0015628974519171553,CHEMBL1770525,Compound
0.0015619009546082542,CHEMBL2086495,Compound
0.001557051210234333,Q9UBP6,Protein
0.0015546710669083056,Q00059,Protein
0.001541797224135309,CHEMBL437306,Compound
0.001536479644148087,CHEMBL360924,Compound
0.001530312848703209,CHEBI:38867,PharmacologicClass
0.0015298096658849022,CHEMBL1830901,Compound
0.0015241545472375543,CHEMBL511960,Compound
0.0015179384398208119,CHEMBL2086497,Compound
0.00150834257065599,CHEMBL1672237,Compound
0.0015066352518877742,Q8WV74,Protein
0.0015045597097469736,P09972,Protein
0.001424025936374385,Q4KMZ8,Protein
0.0014210345635217868,Q8N609,Protein
0.0013423386769495704,CHEMBL1201536,Compound
0.0012080500387922437,A6NJV1,Protein
0.0010929559177279202,CHEMBL91005,Compound
0.001038982626137183,Q9NY37,Protein
0.0009970383987687288,CHEMBL224730,Compound
0.0009570264297029239,CHEMBL223876,Compound
0.0008790896937776875,O14495,Protein
0.0008637906686831241,CHEMBL390942,Compound
0.000862939414501596,CHEMBL389037,Compound
0.0008526969076873091,DB00657,Compound
0.0008495203861145776,D6REC3,Protein
0.0008474961144862259,CHEMBL374625,Compound
0.0008138971641429232,CHEMBL388350,Compound
0.0007629180103074405,CHEMBL388528,Compound
0.0006975703867176291,CHEMBL314031,Compound
0.000685597846933937,CHEMBL1823380,Compound
0.0006834697362416743,CHEMBL224715,Compound
0.0006819464241763993,CHEMBL197795,Compound
0.0006794071794964901,CHEMBL375196,Compound
0.0006785680225087334,P34981,Protein
0.0006759724419264326,CHEMBL224525,Compound
0.0006719769958738886,Q8NCU7,Protein
0.0006538597040841213,CHEMBL437735,Compound
0.0006439620431654749,Q8NGJ5,Protein
0.0006396694961377577,CHEMBL376135,Compound
0.0006387228742949539,CHEMBL389955,Compound
0.0006360574834142495,DB09421,Compound
0.0006352409153776534,CHEMBL1834091,Compound
0.0006350831076652875,CHEMBL3234772,Compound
0.0006273419011448145,CHEMBL291398,Compound
0.0006193717109358461,CHEMBL196634,Compound
0.0006179445736755653,CHEMBL982,Compound
0.0006159049791971631,CHEMBL1760599,Compound
0.0006081521861780476,CHEMBL1802337,Compound
0.0006078401748836863,CHEMBL469932,Compound
0.0006075263549912333,CHEMBL2398214,Compound
0.000606883689758266,CHEMBL1201152,Compound
0.0006047472276345583,CHEMBL1823385,Compound
0.0005708294518802221,CHEMBL1200703,Compound
0.0005638621221452357,CHEMBL2332354,Compound
0.0005631439527471609,CHEMBL2332346,Compound
0.000555462979043234,CHEMBL388812,Compound
0.0005491369909845018,CHEMBL224655,Compound
0.0005447484805611963,Q9GZZ9,Protein
0.0005344291381790799,CHEMBL1738703,Compound
0.0005336097753197889,CHEMBL3234771,Compound
0.0005315131040654235,CHEMBL1831190,Compound
0.0005260174748455656,CHEMBL1939369,Compound
0.0005229530994058329,CHEMBL3260480,Compound
0.0005221347376076527,CHEMBL1831192,Compound
0.000521148428497522,CHEMBL457042,Compound
0.0005202115452493408,CHEMBL223972,Compound
0.0005165690223834666,CHEMBL389858,Compound
0.0005139090675928638,CHEMBL1774907,Compound
0.00049432219721388,CHEMBL1779543,Compound
0.0004863295124920932,CHEMBL2347911,Compound
0.00047691462686431317,CHEMBL3234773,Compound
0.0004713641136825289,CHEMBL372694,Compound
0.0004686348725627541,CHEMBL515820,Compound
0.0004640417487703156,CHEMBL3234759,Compound
0.0004618361194698995,CHEMBL380815,Compound
0.00046083023805668614,CHEMBL1807808,Compound
0.00045975233814586646,CHEMBL1801575,Compound
0.0004569320678896332,CHEMBL1939377,Compound
0.00045527237373941686,CHEMBL1939384,Compound
0.00045405253391724574,CHEMBL370404,Compound
0.0004529946069406239,CHEMBL1823383,Compound
0.00045008665725063097,CHEMBL1828656,Compound
0.0004497564897778546,CHEMBL1213898,Compound
0.0004491473131699647,CHEMBL284092,Compound
0.0004483806781318886,CHEMBL381213,Compound
0.00044694041354236826,CHEMBL381772,Compound
0.00044412260734815156,CHEMBL1823384,Compound
0.0004429928033723172,CHEMBL2398212,Compound
0.00043794533587441923,CHEMBL1834385,Compound
0.00042987129175761586,Q32NB8,Protein
0.00042904934381805316,CHEMBL1834386,Compound
0.0004259085494241966,CHEMBL1823386,Compound
0.00042514793431654163,CHEMBL538868,Compound
0.0004226462038921877,CHEMBL82854,Compound
0.0004225040543719814,CHEMBL293649,Compound
0.0004207957205660844,CHEMBL2332347,Compound
0.0004200118071463401,CHEMBL1831191,Compound
0.0004188554015130175,CHEMBL1760603,Compound
0.000416636102604328,CHEMBL86462,Compound
0.0004161261333092638,CHEMBL3233752,Compound
0.00041577520549569523,CHEMBL1823387,Compound
0.00041539894276088947,CHEMBL1774916,Compound
0.00041515458442230074,CHEMBL1802338,Compound
0.00041330411353691866,CHEMBL595607,Compound
0.0004128001820508157,CHEMBL1698,Compound
0.00040927182891001317,CHEMBL1939373,Compound
0.00040892858161181727,CHEMBL1801576,Compound
0.0004080933994198046,CHEMBL1213895,Compound
0.0004044043931987401,CHEMBL1807811,Compound
0.00039901709907018553,CHEMBL515048,Compound
0.000398945586732949,CHEMBL65324,Compound
0.0003981061958671387,CHEMBL512489,Compound
0.0003972755736673506,CHEMBL1774909,Compound
0.00039523362804288846,CHEMBL3233490,Compound
0.0003939989911666366,CHEMBL3234763,Compound
0.0003930178508281778,CHEMBL1812748,Compound
0.0003921240758812053,CHEMBL2398213,Compound
0.00038802503661776553,CHEMBL1939381,Compound
0.00038678250427299826,CHEMBL1823382,Compound
0.00038474685393195986,CHEMBL543564,Compound
0.0003847176845261286,D018757,PharmacologicClass
0.0003812077159030809,CHEMBL280511,Compound
0.0003761713108103129,CHEMBL1807794,Compound
0.0003751034582647186,CHEMBL2177254,Compound
0.0003744107911547214,CHEMBL1213894,Compound
0.00037305145939752464,CHEMBL515763,Compound
0.00037283963578851474,CHEMBL87871,Compound
0.0003726550864797102,CHEMBL1823381,Compound
0.00037091233630128656,CHEMBL314676,Compound
0.0003708125862059953,CHEMBL1834092,Compound
0.0003651888427488275,CHEMBL553506,Compound
0.00036454279584977853,CHEMBL1939375,Compound
0.00036306690217942236,CHEMBL3235114,Compound
0.00036244405429591744,CHEMBL207352,Compound
0.00036195214727501225,CHEMBL1774923,Compound
0.0003614321883851942,CHEMBL1834096,Compound
0.00036019316291400913,CHEMBL106038,Compound
0.00036011228302785137,CHEMBL1779537,Compound
0.00035971644317621225,CHEMBL197570,Compound
0.00035966835149994937,CHEMBL1807791,Compound
0.00035889354140595056,CHEMBL1834094,Compound
0.00035686286335268627,P59103,Protein
0.0003567171180230202,CHEMBL1760601,Compound
0.00035469579515256714,CHEMBL1774918,Compound
0.00035445070748210347,CHEMBL1830708,Compound
0.00035176843740454663,CHEMBL112834,Compound
0.00035066511708423543,CHEMBL1807802,Compound
0.0003503822082011513,CHEMBL191835,Compound
0.00035024354644086497,CHEMBL1831189,Compound
0.00034722082743501176,CHEMBL3234779,Compound
0.00034689570744230656,CHEMBL1807813,Compound
0.0003459887381645168,CHEMBL2332365,Compound
0.000345715448873123,CHEMBL1173701,Compound
0.000344162238013241,CHEMBL1738804,Compound
0.00034215204661873944,CHEMBL1801574,Compound
